id,alter,genre,categories,released,eigenschaften,original_price,recommendations
372980,,Education,,"28 Dec, 2016",,,
373000,,Education,,"23 Jul, 2015",,3899.0,
374400,,Utilities,,"4 Jun, 2015",,1679.0,174.0
374690,,Animation & Modeling; Utilities,,"1 Oct, 2015",,899.0,
375840,,Audio Production; Utilities,Steam Achievements; Steam Trading Cards,"10 Dec, 2015",,1749.0,340.0
376990,,Software Training,,"29 Jul, 2015",,1183.0,
377000,,Education,,"20 Jun, 2017",,,
377010,,Education,,"18 Jan, 2017",,4899.0,
377030,,Education,,"18 Jan, 2017",,3919.0,
377040,,Software Training,,"29 Jun, 2015",,1479.0,
377050,,Software Training,,"29 Jun, 2015",,1479.0,
377350,,,Single-player,"4 Aug, 2016",,,
379660,,Audio Production,,"24 Jan, 2017",,,
380080,,Audio Production,,"29 Apr, 2016",,,
382110,,Utilities,Tracked Controller Support; VR Only; VR Support; Steam Workshop; Partial Controller Support,"31 Mar, 2016",,1479.0,1982.0
382990,,,Family Sharing,"17 Feb, 2016",,,
383730,,Design & Illustration; Education; Web Publishing; Game Development,,"13 Jul, 2015",,245.0,114.0
384300,,Design & Illustration; Utilities,Steam Achievements; Steam Trading Cards; Family Sharing,"6 Jul, 2015",,1299.0,10784.0
386550,,Audio Production,,"19 Oct, 2015",,,
387770,,Software Training,,"22 Jul, 2015",,1479.0,
387780,,Software Training,,"22 Jul, 2015",,1479.0,
387790,,Software Training,,"22 Jul, 2015",,1183.0,
387800,,Software Training,,"22 Jul, 2015",,1183.0,
387810,,Software Training,,"27 Jul, 2015",,,
388280,,Photo Editing; Software Training; Utilities,,"23 Jul, 2015",,299.0,
389980,,Utilities; Early Access,Tracked Controller Support; VR Only; VR Support,"22 Feb, 2018",,,
391050,,Utilities,,"18 Dec, 2015",,2499.0,
392230,,Utilities,Tracked Controller Support; VR Only,"22 Oct, 2016",,,
393320,,Education,,"26 Jan, 2016",,3899.0,
393330,,Education; Software Training,,"26 Jan, 2016",,2899.0,
393340,,Software Training,,"6 Oct, 2015",,2899.0,
395760,,Design & Illustration; Utilities,,"15 Feb, 2023",,299.0,207.0
398240,,Audio Production; Education,,"7 Mar, 2016",,2799.0,
398810,,Design & Illustration; Photo Editing,Steam Trading Cards,"20 Sep, 2017",,5020.0,438.0
400040,,Free To Play; Audio Production; Design & Illustration; Photo Editing; Utilities; Video Production; Web Publishing,,"2 Oct, 2015",,,
400650,,Education,,"7 Mar, 2016",,4599.0,
403030,,Design & Illustration,Steam Trading Cards,"16 Oct, 2017",,5000.0,
403040,,Utilities,,"28 Oct, 2015",,,
406030,,Software Training,,"8 Oct, 2015",,1499.0,
406040,,Software Training,,"12 Oct, 2015",,1499.0,
406050,,Software Training,,"7 Oct, 2015",,1183.0,
406060,,Software Training,,"7 Oct, 2015",,1479.0,
406830,,Software Training,,"21 Mar, 2016",,1479.0,
406840,,Software Training,,"12 Oct, 2015",,1479.0,
408930,,Animation & Modeling; Design & Illustration; Photo Editing; Utilities; Web Publishing; Game Development,Steam Trading Cards; Steam Workshop; In-App Purchases,"5 Nov, 2015",,975.0,
409020,,Education,Tracked Controller Support; VR Only,"17 Oct, 2016",,,
411340,,Accounting,,"21 Jan, 2016",,,
411350,,Accounting,,"26 Jan, 2016",,,
415140,,Animation & Modeling; Design & Illustration; Education; Photo Editing; Software Training; Utilities; Video Production,,"6 May, 2016",,689.0,
418290,,Software Training,,"30 Nov, 2015",,,
419450,,Education,,"26 Jan, 2016",,1999.0,
420130,,Education,,"18 May, 2017",,,
428340,,Animation & Modeling; Design & Illustration; Video Production,,"15 Feb, 2016",,1900.0,238.0
430890,,Audio Production,Steam Achievements; Steam Cloud,"21 Apr, 2017",,,
431030,,Audio Production,Tracked Controller Support; VR Only; VR Support,"17 Aug, 2017",,12099.0,
431570,,Utilities; Early Access,VR Only,"1 Nov, 2016",,799.0,
432030,,Animation & Modeling; Design & Illustration; Utilities; Early Access,,"8 Jun, 2016",,899.0,
432200,,Utilities,Steam Achievements; Steam Trading Cards; Steam Workshop; Steam Cloud; Stats; Steam Leaderboards,Coming soon,,,
432330,,Audio Production,Steam Achievements,"26 Jan, 2016",,589.0,
433930,,Animation & Modeling; Design & Illustration; Education; Photo Editing; Software Training,,"2 Feb, 2016",,,
435060,,Education; Software Training; Utilities,,"21 Jan, 2016",,,
436740,,Animation & Modeling; Education,VR Only,"1 Feb, 2017",,,
438110,,Education,,"26 Jan, 2016",,1950.0,
439660,,,Family Sharing,"29 Mar, 2016",,,
440520,,Utilities,,"7 Jun, 2016",,1479.0,337.0
441770,,Animation & Modeling; Design & Illustration; Photo Editing,,"22 Feb, 2016",,1950.0,109.0
441850,,Animation & Modeling; Audio Production; Software Training; Utilities; Video Production,Steam Cloud,"29 Apr, 2016",,2799.0,
442230,,Education,,"24 Feb, 2017",,2799.0,
443320,,Education,,"24 Feb, 2017",,,
443970,,Animation & Modeling; Design & Illustration; Education; Software Training; Utilities; Game Development,Partial Controller Support; Includes level editor,"8 Apr, 2016",,1999.0,268.0
444970,,Audio Production; Utilities; Video Production; Game Development,VR Support,"13 Mar, 2016",,999.0,194.0
446060,,Animation & Modeling; Design & Illustration; Education; Software Training; Video Production; Web Publishing,,"2 Feb, 2017",,,
446570,,Utilities,VR Only; VR Support,"12 Apr, 2016",,499.0,
446830,,Design & Illustration,,"24 Mar, 2016",,779.0,
449130,,Education; Software Training; Utilities,Full controller support; Tracked Controller Support; VR Supported; VR Support,"18 Dec, 2018",,,
451330,,,,"29 Apr, 2016",,,
451450,,,Tracked Controller Support; VR Supported; VR Support,"2 Feb, 2017",,499.0,
451650,,Utilities; Video Production,Tracked Controller Support; VR Supported; VR Support; Partial Controller Support,"25 Jan, 2024",,399.0,485.0
454550,,Animation & Modeling; Design & Illustration,,"21 Apr, 2016",,1249.0,120.0
455160,,Animation & Modeling; Design & Illustration,Tracked Controller Support; VR Only,"29 Apr, 2016",,819.0,
455590,,Action; Adventure; Indie; Early Access,Single-player; Steam Trading Cards; Family Sharing,"Jun 17, 2016",,399.0,
456150,,Utilities; Early Access,VR Supported,"20 Mar, 2018",,1099.0,
456450,,Utilities,VR Only; VR Support,"28 Mar, 2016",,,
457670,,Utilities,Full controller support; Tracked Controller Support; VR Only,"12 Apr, 2016",,,
458200,,Animation & Modeling; Audio Production; Design & Illustration; Education; Early Access,Tracked Controller Support; VR Only; Includes level editor,"4 Jul, 2016",,1499.0,
458360,,Education,,"13 Sep, 2016",,4599.0,
458370,,Indie; Sports,Single-player; Full controller support; Tracked Controller Support; VR Only; VR Support; Family Sharing,"Apr 4, 2016",,299.0,
458750,,Design & Illustration; Photo Editing,Steam Trading Cards,"22 May, 2016",,3699.0,659.0
459350,,Action; Indie,Single-player; Multi-player; PvP; Online PvP; Shared/Split Screen PvP; Co-op; Shared/Split Screen Co-op; Shared/Split Screen; Steam Achievements; Full controller support; Steam Cloud; Steam Leaderboards; Remote Play Together; Family Sharing,"Jun 6, 2017",,499.0,
459870,,Animation & Modeling; Early Access,Tracked Controller Support; VR Only; Steam Workshop,"9 May, 2016",,,
460470,,Animation & Modeling; Design & Illustration; Education,Tracked Controller Support; VR Only,"13 Feb, 2017",,819.0,
461530,,Education,,"3 Feb, 2017",,1950.0,
461540,,Education,,"9 Feb, 2017",,1950.0,
461550,,Education,,"10 Feb, 2017",,2899.0,
461820,,Casual; Free To Play; RPG,Single-player; Full controller support; Steam Cloud,"May 10, 2016",,,
462530,,Adventure,Single-player; Tracked Controller Support; VR Only; Partial Controller Support,"Apr 25, 2016",,,
464120,,Utilities,,"16 Jun, 2016",,199.0,
464940,,Adventure,Single-player; Tracked Controller Support; VR Only,"16 May, 2016",,,
467890,,Audio Production; Early Access,Single-player; Tracked Controller Support; VR Only,"21 Jun, 2016",,599.0,
468900,,Animation & Modeling,,"16 May, 2016",,2799.0,
478000,,Education,Tracked Controller Support; VR Only,"14 Nov, 2016",,,
478960,,Animation & Modeling; Education; Utilities; Web Publishing,,"16 Jun, 2016",,,
480710,,Early Access,VR Only,"14 Nov, 2018",,,
483950,,Design & Illustration; Web Publishing; Game Development,Partial Controller Support,"7 Sep, 2016",,6499.0,254.0
485150,,Web Publishing,,"20 Jul, 2016",,,
486670,,Education,,"1 May, 2017",,3919.0,
488040,,Animation & Modeling; Utilities,Single-player; Tracked Controller Support; VR Only; Steam Workshop,"26 Dec, 2016",,819.0,
489240,,Action; Aventure; Indépendant; Massivement multijoueur; RPG; Accès anticipé,Solo; Multijoueur; PvP; JcJ en ligne; Cartes à échanger Steam; Partage familial,1 juin 2018,,499.0,
491380,,Utilities,,"28 Jul, 2016",,,
492520,,Education,,"31 Jan, 2017",,1950.0,
493430,,Animation & Modeling; Design & Illustration; Education; Utilities,Tracked Controller Support; VR Only,"29 Aug, 2018",,,
495450,,Design & Illustration,Tracked Controller Support; VR Only,"17 Nov, 2016",,,
495480,,Web Publishing,,"16 Nov, 2017",,5899.0,362.0
495800,,Animation & Modeling; Video Production,VR Only,"25 Jun, 2020",,,
496450,,Animation & Modeling; Design & Illustration; Utilities; Game Development,Steam Achievements; Steam Trading Cards; Steam Cloud; Stats; Includes level editor,"15 Dec, 2016",,1499.0,235.0
496490,,Design & Illustration; Utilities,Steam Achievements; Includes level editor,"20 Jul, 2016",,2799.0,
496910,,Audio Production,Tracked Controller Support; VR Only,"8 Jul, 2016",,499.0,
497150,,Audio Production; Utilities,Steam Cloud; Stats,"7 Jul, 2016",,999.0,
497160,,Audio Production; Utilities,Steam Cloud; Stats,"8 Aug, 2016",,1999.0,
497310,,Design & Illustration; Education; Photo Editing; Software Training,,"16 Sep, 2016",,399.0,
498310,,RPG; Animation & Modeling; Design & Illustration; Game Development,Steam Achievements; Steam Workshop; Steam Cloud; Includes level editor,"10 May, 2022",,4899.0,391.0
500470,,Animation & Modeling; Education; Early Access,Tracked Controller Support; VR Only,"20 Jul, 2016",,819.0,
500500,,Utilities; Video Production,Tracked Controller Support; VR Only,"19 Jul, 2016",,799.0,336.0
501280,,Utilities,VR Supported; Steam Workshop; Partial Controller Support,"29 Jul, 2016",,,
502480,,Animation & Modeling; Design & Illustration; Utilities,Tracked Controller Support; VR Only; Steam Workshop; Steam Cloud,"20 Oct, 2017",,,
